Array Size;Selection 0-5;Selection 0-4000;Selection almost;Selection reversed;Bubble 0-5;Bubble 0-4000;Bubble almost;Bubble reversed;Bubble_1 0-5;Bubble_1 0-4000;Bubble_1 almost;Bubble_1 reversed;Bubble_1+2 0-5;Bubble_1+2 0-4000;Bubble_1+2 almost;Bubble_1+2 reversed;Insertions 0-5;Insertions 0-4000;Insertions almost;Insertions reversed;Binary Insertions 0-5;Binary Insertions 0-4000;Binary Insertions almost;Binary Insertions reversed;Counting 0-5;Counting 0-4000;Counting almost;Counting reversed;Digit 0-5;Digit 0-4000;Digit almost;Digit reversed;Merge 0-5;Merge 0-4000;Merge almost;Merge reversed;Quick 0-5;Quick 0-4000;Quick almost;Quick reversed;Heap 0-5;Heap 0-4000;Heap almost;Heap reversed;Shell Ciura 0-5;Shell Ciura 0-4000;Shell Ciura almost;Shell Ciura reversed;Shell 0-5;Shell 0-4000;Shell almost;Shell reversed;
50;5829;6208;5012;5737;10079;10133;4695;11295;10087;10529;404;10812;8691;9079;204;10074;8250;9166;275;10004;3041;3408;800;4470;68066;77033;88570;68291;13299;13050;12966;12937;4212;4141;3258;3224;1966;2091;3487;3733;3762;3950;4441;3625;6395;6229;1141;11041;3108;3399;1008;1983;
100;19379;21891;18545;20291;39883;40653;18429;40295;39237;44529;795;42975;34729;34845;545;39083;18020;19137;558;37970;9575;11087;1895;15350;68083;66454;66929;66054;15479;15479;15612;15466;9120;9370;7050;6966;5258;5704;12495;13237;9704;10162;10783;8937;20466;22371;2312;42575;6229;9550;2420;4987;
150;42975;48445;39904;43429;87595;89666;37804;86329;85671;91675;1091;89233;78075;78862;787;82666;40220;44250;762;84220;20179;22633;2899;31816;65887;68770;66212;67483;20624;18195;18729;18745;14391;16374;11516;11375;9754;9837;26408;27633;15512;17004;17949;15458;46933;49599;3420;90150;8974;15991;4216;8312;
200;72641;78054;70400;76541;159208;166149;71871;158221;156658;168116;1450;159254;134849;142608;1108;149445;66212;80087;1033;153087;32266;39908;4404;58124;69299;67570;68008;68400;21408;21316;21550;20804;20250;22066;15262;14962;15312;14212;43229;46787;21950;23979;24074;21708;72170;86833;4695;158308;13566;23933;5570;10741;
250;116350;119737;108933;119487;244804;260029;113383;261012;250520;259316;1787;249554;226154;235516;1412;238450;117083;123741;1266;234850;53087;60691;6721;86233;67587;70900;68924;68820;23958;23574;24254;24500;26104;28720;20091;19529;23066;20283;71520;71191;26983;30495;30554;27391;115479;128466;5916;252404;15558;31858;7741;14870;
300;152900;165137;156871;163474;339424;360445;158483;347358;360954;378654;2133;362354;306295;329637;1729;341833;146316;176766;1525;330454;68725;85037;7653;126945;69479;69933;71745;71579;27374;28046;26225;25862;30545;34166;23491;23175;29345;24691;95020;100866;34916;39395;39687;35479;163204;217704;12087;745283;20395;39520;9695;21854;
