Array Size;Selection 0-5;Selection 0-4000;Selection almost;Selection reversed;Bubble 0-5;Bubble 0-4000;Bubble almost;Bubble reversed;Bubble_1 0-5;Bubble_1 0-4000;Bubble_1 almost;Bubble_1 reversed;Bubble_1+2 0-5;Bubble_1+2 0-4000;Bubble_1+2 almost;Bubble_1+2 reversed;Insertions 0-5;Insertions 0-4000;Insertions almost;Insertions reversed;Binary Insertions 0-5;Binary Insertions 0-4000;Binary Insertions almost;Binary Insertions reversed;Counting 0-5;Counting 0-4000;Counting almost;Counting reversed;Digit 0-5;Digit 0-4000;Digit almost;Digit reversed;Merge 0-5;Merge 0-4000;Merge almost;Merge reversed;Quick 0-5;Quick 0-4000;Quick almost;Quick reversed;Heap 0-5;Heap 0-4000;Heap almost;Heap reversed;Shell Ciura 0-5;Shell Ciura 0-4000;Shell Ciura almost;Shell Ciura reversed;Shell 0-5;Shell 0-4000;Shell almost;Shell reversed;
1600;12824508;12845313;12817875;14737587;16960653;17247375;15363483;19200795;18093160;19129246;38966;23041606;18444042;19622052;35591;25606416;8000085;9433695;14235;19200795;6174288;7292324;302134;14384112;120994;120994;120994;120994;412373;412373;412373;412373;640739;640739;640739;640739;2485606;313605;6545143;10307959;556749;638285;671026;603356;8624017;10153201;105777;20571441;252459;472779;160263;291015;
1700;14476004;14498240;14468993;16636187;19142060;19478822;17343701;21675845;20399326;21603058;41402;26011706;20751115;22277760;37845;28906816;9006920;10690730;15125;21675845;6934512;8241987;323514;16220562;124094;124094;124094;124094;436573;436573;436573;436573;685139;685139;685139;685139;2790108;350723;7384317;11632209;596843;684656;718705;648792;9704321;11500385;113073;23217841;233077;433507;170293;311377;
1800;16227497;16252307;16220111;18649787;21460426;21836962;19443919;24300895;22910452;24205098;43838;29161806;23361439;24933865;40099;32407216;10098550;11981230;16015;24300895;7757509;9216852;344894;18167012;127194;127194;127194;127194;460773;460773;460773;460773;729539;729539;729539;729539;3126409;362711;8274091;13036459;634311;729173;766140;692486;10875523;12883715;120819;26024691;252470;640550;180290;345026;
1900;18079074;18105108;18071229;20778387;23944050;24340518;21664137;27075945;25520850;27007036;46274;32491906;26023534;27812399;42353;36107616;11416470;13398810;16905;27075945;8746526;10284408;366274;20223462;130294;130294;130294;130294;484973;484973;484973;484973;773939;773939;773939;773939;3470980;388590;9214465;14520709;670559;776333;813830;740461;12288551;14403047;129015;28991991;262223;471797;190331;356039;
2000;20030609;20057396;20022347;23021987;26526479;26954801;24004355;30000995;28312364;29908978;48710;36002006;28864719;30868799;44607;40008016;12628415;14770025;17795;30000995;9657712;11318013;387654;22389912;133394;133394;133394;133394;509173;509173;509173;509173;818339;818339;818339;818339;3817597;424171;10205439;16084959;713671;822929;860543;780427;13588539;15872923;137211;32119291;285792;527910;200328;385368;
2100;22082162;22109525;22073465;25380587;29262343;29723593;26464573;33076045;31228436;32958360;51146;39692106;31842225;33965955;46861;44108416;14007535;16313785;18685;33076045;10691386;12479217;409965;24667331;136494;136494;136494;136494;533373;533373;533373;533373;864507;864507;864507;864507;4216058;434396;11247013;17729209;751382;869851;911206;827401;15066847;17526847;145407;35406591;309743;648305;233423;401435;
2200;24233637;24264555;24224583;27854187;32111226;32610789;29044791;36301095;34268308;36139928;53582;43562206;34979445;37260110;49115;48408816;15351750;17849565;19575;36301095;11699788;13634051;433131;27055681;139594;139594;139594;139594;557573;557573;557573;557573;912307;912307;912307;912307;4616770;441577;12339187;19453459;790872;918724;961993;871491;16507923;19172259;153603;38853891;329167;601435;244531;426403;
2300;26485268;26517410;26475701;30442787;35073923;35629949;31745009;39676145;37367862;39504714;56018;47612306;38075508;40657156;51369;52909216;16665035;19445165;20465;39676145;12685948;14833231;456297;29554031;142694;142694;142694;142694;581773;581773;581773;581773;960107;960107;960107;960107;5043870;549349;13481961;21257709;834522;965674;1013487;922449;17916007;20881479;161799;42461191;330966;603018;255672;472788;
2400;28836725;28870550;28826819;33146387;38163367;38818429;34565227;43201195;40691484;43040992;58454;51842406;41470279;44398255;53623;57609616;18012055;21287365;21355;43201195;13696707;16212813;479463;32162381;145794;145794;145794;145794;605973;605973;605973;605973;1007907;1007907;1007907;1007907;5456248;497199;14675335;23141959;880859;1015253;1064772;964383;19360075;22853739;169995;46228491;381911;686057;266747;472955;
2500;31288380;31323681;31277937;35964987;41428014;42129555;37505445;46876245;44171452;46745110;60890;56252506;45068787;48256866;55877;62510016;19635090;23142795;22245;46876245;14910248;17601781;502629;34880731;148894;148894;148894;148894;630173;630173;630173;630173;1055707;1055707;1055707;1055707;5935729;528021;15919309;25106209;915613;1062903;1115989;1011356;21098559;24840111;178191;50155791;374238;713034;277866;511686;
2600;33839720;33877034;33829055;38898587;44863367;45614438;40565663;50701295;47850734;50655450;63326;60842606;48864581;52282901;58131;67610416;21511655;25267010;23135;50701295;16309640;19188720;525795;37709081;151994;151994;151994;151994;654373;654373;654373;654373;1103507;1103507;1103507;1103507;6410079;543752;17213883;27150459;957677;1113253;1167494;1056557;23107475;27113187;186387;54243091;405261;824913;288963;532035;
2700;36491312;36530366;36480173;41947187;48359902;49159174;43745881;54676345;51549004;54571292;65762;65612706;52546160;56326058;60385;72910816;23094130;27090490;24025;54676345;17493496;20555152;548961;40647431;155094;155094;155094;155094;678573;678573;678573;678573;1151307;1151307;1151307;1151307;6941886;585481;18559057;29274709;1004096;1161123;1218795;1107742;24802695;29065479;194583;58490391;397984;825412;300082;549886;
2800;39242997;39283008;39231291;45110787;52027389;52856340;47046099;58801395;55506784;58652280;68198;70562806;56689463;60459090;62639;78411216;24931365;29076120;24915;58801395;18864185;22041222;572127;43695781;158194;158194;158194;158194;702773;702773;702773;702773;1199107;1199107;1199107;1199107;7407133;590463;19954831;31478959;1042810;1210243;1270272;1150798;26769659;31190731;202779;62897691;428309;843929;311201;568817;
2900;42094472;42136271;42082409;48389387;55798292;56697782;50466317;63076445;59512120;62925820;70634;75692906;60754517;64888475;64893;84111616;26685680;31183130;25805;63076445;20174381;23615780;595293;46854131;161294;161294;161294;161294;726973;726973;726973;726973;1246907;1246907;1246907;1246907;7937565;642953;21401205;33763209;1086957;1260973;1321878;1198339;28648175;33445455;210975;67464991;436789;821053;322309;585937;
3000;45046037;45089930;45033527;51782987;59697958;60708817;54006535;67501495;63676442;67408368;73070;81003006;65022620;69574399;67147;90012016;28483810;33538105;26695;67501495;21517018;25372235;618459;50122481;164394;164394;164394;164394;751173;751173;751173;751173;1294707;1294707;1294707;1294707;8489389;740780;22898179;36127459;1132686;1311390;1373495;1243736;30573427;35964675;219171;72192291;440798;856688;333428;612644;
3100;48097524;48144456;48084645;55291587;63743610;64810995;57666753;72076545;67976866;71884940;75506;86493106;69364992;74163693;69401;96112416;30411870;35748795;27585;72076545;22954445;27022651;641625;53500831;167494;167494;167494;167494;775373;775373;775373;775373;1342507;1342507;1342507;1342507;9068708;688714;24445753;38571709;1172300;1360282;1425039;1295648;32637271;38329991;227367;77079591;457896;1161408;344514;619806;
3200;51249041;51296411;51235763;58915187;67904165;69065618;61446971;76801595;72423504;76678922;77942;92163206;73917877;78993726;71655;102412816;32314445;38121710;28475;76801595;24373118;28792838;664905;56989181;170594;170594;170594;170594;799573;799573;799573;799573;1390307;1390307;1390307;1390307;9679739;697373;26043927;41095959;1215351;1409514;1476304;1341265;34673931;40868347;235563;82126891;554770;1129960;355600;645904;
3300;54500495;54549374;54486881;62653787;72226456;73432204;65347189;81676645;77021968;81477608;80378;98013306;78625440;83998987;73909;108913216;34425700;40454440;29365;81676645;25945060;30533562;688185;60587531;173694;173694;173694;173694;823773;823773;823773;823773;1438107;1438107;1438107;1438107;10244086;743163;27692701;43700209;1251042;1460141;1527997;1387963;36933183;43363839;243759;87334191;491589;1048959;366741;710001;
3400;57852051;57904392;57837999;66507387;76687404;77962143;69367407;86701695;81750392;86545262;82814;104043406;83401956;89341805;76163;115613616;36630240;43003935;30255;86701695;27585731;32433277;711465;64295881;176794;176794;176794;176794;847973;847973;847973;847973;1485907;1485907;1485907;1485907;10899374;761008;29392075;46384459;1294095;1510794;1579180;1436739;39291939;46090547;251955;92701491;520524;1039374;377838;690606;
3500;61303715;61357244;61289117;70475987;81311456;82623107;73507625;91876745;86784176;91705558;85250;110253506;88652412;94699220;78417;122514016;39050300;45608555;31145;91876745;29383818;34374142;734745;68114231;179894;179894;179894;179894;872173;872173;872173;872173;1533707;1533707;1533707;1533707;11560259;778805;31142049;49148709;1340251;1560524;1631337;1488819;41880583;48876055;260151;98228791;524994;1033152;388968;708468;
3600;64855328;64909580;64840235;74559587;86048533;87467686;77767843;97201795;91807280;97152818;87686;116643606;93728558;100322113;80671;129614416;41435485;48531250;32035;97201795;31157098;36547440;758025;72042581;182994;182994;182994;182994;896373;896373;896373;896373;1581507;1581507;1581507;1581507;12156936;818001;32942623;51992959;1385698;1610615;1683177;1535080;44432027;52000843;268347;103916091;563447;1261217;400043;761915;
3700;68506893;68563887;68491353;78758187;90875025;92393460;82148061;102676845;96993826;102561494;90122;123213706;99107946;105806255;82925;136914816;43667745;51259920;32925;102676845;32818357;38579442;781305;76080931;186094;186094;186094;186094;920573;920573;920573;920573;1629307;1629307;1629307;1629307;12869697;866308;34793797;54917209;1421921;1660227;1734581;1581437;46820351;54918671;276543;109763391;550864;1085500;411184;768700;
3800;72258392;72317180;72242471;83071787;95825861;97476974;86648279;108301895;102291472;108279004;92558;129963806;104476479;111859078;85179;144415216;45921725;54177290;33815;108301895;34495715;40749628;804585;80229281;189194;189194;189194;189194;944773;944773;944773;944773;1677107;1677107;1677107;1677107;13520018;816333;36695571;57921459;1465655;1710201;1786341;1632372;49231843;58037779;284739;115770691;576696;1156512;422292;787908;
3900;76110014;76170317;76093589;87500387;100902094;102653719;91268497;114076945;107659938;113995188;94994;136893906;109943803;117614318;87433;152115616;48202690;56960815;34705;114076945;36192473;42821702;827865;84487631;192294;192294;192294;192294;968973;968973;968973;968973;1724907;1724907;1724907;1724907;14245521;834502;38647945;61005709;1506586;1758243;1838121;1682570;51672119;61014119;292935;121937991;581443;1140955;433411;833119;
4000;80061612;80125227;80044707;92043987;106141656;108028521;96008715;120001995;113135376;120018338;97430;144004006;115431334;123875684;89687;160016016;50700300;60134625;35595;120001995;38048373;45180603;851145;88855981;195394;195394;195394;195394;993173;993173;993173;993173;1772707;1772707;1772707;1772707;14997531;914183;40650919;64169959;1551147;1809949;1889981;1729817;54343483;64406763;301131;128265291;638231;1279751;444497;850577;
4100;84113312;84177809;84095825;96702587;111518819;113394323;100868933;126077045;118959782;125733542;99866;151294106;121466297;129447728;91941;168116416;53285915;62663435;36485;126077045;39968580;47065871;874501;93334388;198494;198494;198494;198494;1017373;1017373;1017373;1017373;1820643;1820643;1820643;1820643;15782687;971439;42704493;67414209;1589233;1860343;1942415;1776429;57108719;67111407;309327;134752591;751734;2342988;500670;865242;
